psgc,correspondence,name,geo_lvl,city_lvl
1300000000,130000000,National Capital Region (NCR),Reg,
1400000000,140000000,Cordillera Administrative Region (CAR),Reg,
0100000000,010000000,Region I (Ilocos Region),Reg,
0200000000,020000000,Region II (Cagayan Valley),Reg,
0300000000,030000000,Region III (Central Luzon),Reg,
0400000000,040000000,Region IV-A (CALABARZON),Reg,
1700000000,170000000,MIMAROPA Region,Reg,
0500000000,050000000,Region V (Bicol Region),Reg,
0600000000,060000000,Region VI (Western Visayas),Reg,
1800000000,,Negros Island Region (NIR),Reg,
0700000000,070000000,Region VII (Central Visayas),Reg,
0800000000,080000000,Region VIII (Eastern Visayas),Reg,
0900000000,090000000,Region IX (Zamboanga Peninsula),Reg,
1000000000,100000000,Region X (Northern Mindanao),Reg,
1100000000,110000000,Region XI (Davao Region),Reg,
1200000000,120000000,Region XII (SOCCSKSARGEN),Reg,
1600000000,160000000,Region XIII (Caraga),Reg,
1900000000,150000000,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Reg,
