psgc,level,gdp_2022,gdp_2023,gdp_2024
1300000000,region,6892127002930,7572877704210,8214308356540
1380100000,city,249818322950,270372731550,294115654200
1380200000,city,117976783690,129358641270,138757194410
1380300000,city,1165363187140,1303613539410,1439594111290
1380400000,city,71850186560,77580421240,85240914780
1380500000,city,312643057770,346412801600,378486577170
1380600000,city,1059332126210,1133827864880,1225536510400
1380700000,city,121933206570,133659760740,140731323700
1380800000,city,278776327820,302223075620,319834343780
1380900000,city,43007537610,46653820830,49186778530
1381000000,city,344352837210,391753535400,428152197160
1381100000,city,346374150260,388908742530,424989865690
1381200000,city,504076386290,553552746040,605394516120
1381300000,city,1340208336670,1465712046990,1573393478800
1381400000,city,92789557560,102168231530,110247317310
1381500000,city,654219970970,724391117220,780938021810
1381600000,city,179615717320,192024709430,208172960250
1400000000,region,366057851000,410079729980,445523963480
1400100000,province,27235051300,29591659120,31083783630
1408100000,province,12595907430,13902057390,14533777970
1401100000,province,87851090360,99179135330,108333590200
1402700000,province,28705804750,31255539220,33858582840
1403200000,province,30127919110,33286867010,36106489970
1404400000,province,16970338290,19267727440,20362335370
1430300000,city,162571739760,183596744440,201245403500
0100000000,region,729469681410,812639321340,877318738030
0102800000,province,105323439410,118478074110,128023199120
0102900000,province,102664224070,115493546290,125218785590
0103300000,province,129792451180,144601838500,156504285190
0105500000,province,391689566760,434065862440,467572468120
0200000000,region,455676928160,510585340430,564165183850
0200900000,province,5072653400,6138840560,6870211080
0201500000,province,161868164320,183516755910,201055418170
0203100000,province,199458477100,218908592360,242756692540
0205000000,province,66519033030,77001968480,86361279040
0205700000,province,22758600310,25019183110,27121583020
0300000000,region,2367250960200,2646449862970,2892168121090
0307700000,province,36139714700,39989973840,43570100390
0300800000,province,285149068850,314503564720,349210604550
0301400000,province,629727987350,700172383840,771418136470
0304900000,province,331045864710,371405793630,400936237130
0305400000,province,567927563130,641968039390,694311005770
0306900000,province,215147956010,240988970940,268568016360
0307100000,province,102519001120,113566480410,118520970020
0330100000,city,142811443380,159770440500,175723001080
0331400000,city,56782360950,64084215690,69910049340
0400000000,region,3140377483400,3432901355410,3723568507580
0401000000,province,670848861500,731893269230,796880503450
0402100000,province,780059464490,866648695060,936322846930
0403400000,province,1022945496960,1096647881470,1181865698790
0405600000,province,244624398430,267058318700,292649427220
0405800000,province,370945897230,412613103490,452353868240
0431200000,city,50953364790,58040087460,63496162950
1700000000,region,453089928730,471001418700,509501134510
1704000000,province,24517322630,27206588670,30440906970
1705100000,province,56090571200,62673831410,65033284660
1705200000,province,115129090350,128975584710,140834307660
1705300000,province,163761949850,144789433910,151435303510
1705900000,province,32648141790,36357150480,40693442330
1731500000,city,60942852910,70998829520,81063889380
0500000000,region,645781754610,700554167740,769941504170
0500500000,province,162891247600,180968462130,197649022630
0501600000,province,68695579410,73491107150,80353267540
0501700000,province,211460608880,226919979960,249615877030
0502000000,province,31167838870,34652233330,37813642910
0504100000,province,89947793230,95776008000,106953736910
0506200000,province,81618686610,88746377170,97555957150
0600000000,region,691468130360,736799283010,797040846530
0600400000,province,71996796730,82736002430,91214647770
0600600000,province,125519585250,96347744990,98626947300
0601900000,province,81892292650,92120698250,101233763810
0607900000,province,18749760450,21464548080,22992460810
0603000000,province,228762637720,252930555740,272000932260
0631000000,city,164547057560,191199733520,210972094580
1804500000,province,287751470590,328058713590,355181024570
1804600000,province,186829516430,213094506560,231412488980
1806100000,province,13629065070,15382446180,17419640970
1830200000,city,154974617100,181133522090,201996987410
0700000000,region,1206031058090,1353541397350,1491366498490
0701200000,province,189720409340,215682236440,242844364850
0702200000,province,430768845490,476802103570,520755271370
0730600000,city,305570606200,344107621170,381306662080
0731100000,city,163847733890,186979394810,202723081250
0731300000,city,116123463170,129970041350,143737118930
0800000000,region,512826609120,567729652410,621904785500
0807800000,province,18458068040,20420800450,22645923760
0802600000,province,38694714810,44074115450,49958795800
0803700000,province,233606330120,259460992680,282616658310
0804800000,province,49237879050,52378622510,56376674450
0806000000,province,65622309730,72298109600,78847670930
0806400000,province,48747780230,54110440540,59570310630
0831600000,city,58459527130,64986571180,71888751630
0900000000,region,490181435800,531513039260,582571224860
0907200000,province,134000836340,145472132080,159579910770
0907300000,province,113923617610,124983043880,137981225580
0908300000,province,69252626520,75384497120,82252685680
0990101000,city,13114570590,14265282160,15231487010
0931700000,city,159889784750,171408084020,187525915830
1000000000,region,1070791029110,1182241556300,1273436870140
1001300000,province,298256116680,328565375790,338373828470
1001800000,province,13005535670,14888344610,16433703250
1003500000,province,69154032460,73581686910,78650885600
1004200000,province,134733720040,150476557490,166308712720
1004300000,province,178815706850,199625033380,215082643510
1030500000,city,289774927260,320042939460,353454955880
1030900000,city,87050990140,95061618660,105132140710
1100000000,region,1096004125000,1255297156450,1376650875600
1108200000,province,110762421980,131020221850,139670464380
1102300000,province,201314497380,237463537290,250663704850
1102400000,province,122819725600,137712818070,147569495290
1108600000,province,43463409600,47339642430,51994926390
1102500000,province,63389015630,69608726230,77191056650
1130700000,city,554255054800,632152210580,709561228040
1200000000,region,564300354620,623494549770,675617883260
1208000000,province,55520338750,60334228860,67333780940
1206300000,province,153376086940,168401242400,182948934370
1206500000,province,78870927230,88396490000,93738321210
1230800000,city,141307455320,152386968480,166936671890
1600000000,region,376843865660,405668923140,439146876310
1600200000,province,46484811490,47054019460,50876514220
1600300000,province,84276727970,90283454110,97366471720
1608500000,province,13748975780,14822846760,15980509500
1606700000,province,91761569170,100798041940,109550067980
1606800000,province,78226604930,83735771970,88818381560
1630400000,city,62345176330,68974788900,76554931330
1900000000,region,326813470270,362519547950,386127982990
1900700000,province,27047000360,29970016750,31147811660
1903600000,province,83854819950,91677486260,97873627780
1908700000,province,89163484830,97181514030,107068259430
1908800000,province,44264269290,46522347010,52539708880
0906600000,province,52116345510,64507417100,63666192070
1907000000,province,30367550330,32660766800,33832383180
0000000000,country,21385091668470,23575894006420,25640359352930
