psgc,level,pop_2010
0000000000,country,92337852
1300000000,region,11855975
1380100000,city,1489040
1380200000,city,552573
1380300000,city,263683
1380400000,city,353337
1380500000,city,328699
1380600000,city,1652171
1380700000,city,424150
1380800000,city,459941
1380900000,city,249131
1381000000,city,588126
1381100000,city,392869
1381200000,city,669773
1381300000,city,2761720
1381400000,city,121430
1381500000,city,909829
1381600000,city,575356
1381701000,municipality,64147
1400000000,region,1616867
1400100000,province,234733
1408100000,province,112636
1401100000,province,403944
1430300000,city,318676
1402700000,province,191078
1403200000,province,201613
1404400000,province,154187
0100000000,region,4748372
0102800000,province,568017
0102900000,province,658587
0103300000,province,741906
0105500000,province,2779862
0200000000,region,3229163
0200900000,province,16604
0201500000,province,1124773
0203100000,province,1489645
0205000000,province,421355
0205700000,province,176786
0300000000,region,10137737
0307700000,province,201233
0300800000,province,687482
0301400000,province,2924433
0304900000,province,1955373
0305400000,province,2014019
0330100000,city,326336
0306900000,province,1273240
0307100000,province,534443
0331400000,city,221178
0400000000,region,12609803
0401000000,province,2377395
0402100000,province,3090691
0403400000,province,2669847
0405600000,province,1740638
0431200000,city,246392
0405800000,province,2484840
1700000000,region,2744671
1704000000,province,227828
1705100000,province,452971
1705200000,province,785602
1705300000,province,771667
1731500000,city,222673
1705900000,province,283930
0500000000,region,5420411
0500500000,province,1233432
0501600000,province,542915
0501700000,province,1822371
0502000000,province,246300
0504100000,province,834650
0506200000,province,740743
0600000000,region,4194579
0600400000,province,535725
0600600000,province,546031
0601900000,province,719685
0607900000,province,162943
0603000000,province,1805576
0631000000,city,424619
0700000000,region,5422448
0701200000,province,1255128
0702200000,province,2619362
0730600000,city,866171
0731100000,city,350467
0731300000,city,331320
0800000000,region,4101322
0807800000,province,161760
0802600000,province,428877
0803700000,province,1567984
0831600000,city,221174
0804800000,province,589013
0806000000,province,733377
0806400000,province,399137
0900000000,region,3407353
0907200000,province,957997
0907300000,province,959685
0931700000,city,807129
0908300000,province,584685
0990101000,city,97857
1000000000,region,4297323
1001300000,province,1299192
1001800000,province,83807
1003500000,province,607917
1030900000,city,322821
1004200000,province,567642
1004300000,province,813856
1030500000,city,602088
1100000000,region,4468563
1108200000,province,687195
1102300000,province,945764
1102400000,province,574910
1130700000,city,1449296
1108600000,province,293780
1102500000,province,517618
1200000000,region,3690174
1208000000,province,498904
1206300000,province,827200
1230800000,city,538086
1206500000,province,747087
1600000000,region,2429224
1600200000,province,332487
1630400000,city,309709
1600300000,province,656418
1608500000,province,126803
1606700000,province,442588
1606800000,province,561219
1900000000,region,3675537
1900700000,province,293322
1903600000,province,933260
1908700000,province,708950
1908800000,province,507554
0906600000,province,718290
1907000000,province,366550
